N,K,eta,p,max_qfi,coeffs,combinations
3,2,0.8,0.1,10.741559039726344,"0.5949452496680914,1.6060204727111368e-05,1.1180834903756764e-18,0.5683506985203542,1.604636463828066e-05,1.9033455788998563e-05,3.1985508669947355e-17,9.825582188149884e-20,2.5835703359616232e-17,0.5683464189454047","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.3,10.12608203536124,"0.590312722117531,1.2123499496983603e-05,3.718069461818577e-05,0.5707540016180908,1.214030174723831e-05,0.0,6.059918349672534e-17,3.720190355772167e-05,0.0,0.5707634399381522","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.5,9.651880268749746,"0.5863388585094262,1.8947496862588243e-06,1.9487415328471515e-06,0.5728061944731069,1.9067947503433676e-06,2.4931305018321645e-06,0.0,1.9634927354010476e-06,0.0,0.5728001403413711","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.7,9.32512039344719,"0.5833128016627259,1.1162267661715003e-05,4.148630072943653e-05,0.5743407963655336,1.1085637135938809e-05,4.2012834183813297e-19,6.76403909743564e-18,4.1434731962210674e-05,2.483873330741063e-17,0.5743508780866211","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.9,9.152047430778016,"0.581540026261154,3.2493932493871415e-05,0.00012146166022091121,0.5752381932770639,3.2481127241902795e-05,0.000196715865664581,2.4640045440010376e-18,0.00012145303965919473,2.6421547485640727e-18,0.5752498323894835","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,0.1,11.77247231976399,"0.6072132230104037,1.9262843271800973e-05,3.3823656542419976e-05,0.5618239829355015,1.9278943381835934e-05,0.0,2.4036776835322052e-17,3.3814418182241614e-05,0.0,0.5618238783481435","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,0.3,11.269845501501866,"0.60384428898729,1.4234867130465725e-05,5.4957200717222664e-05,0.5636353791953382,1.4254536005619612e-05,0.0,7.321920386220716e-18,5.501390477440466e-05,4.029982354980339e-18,0.5636376223259959","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,0.5,10.887334057236732,"0.6010580000995465,1.4145450219146816e-17,2.2011699261027503e-05,0.5651168895807893,1.0164395367051604e-19,0.0,0.0,2.2031445521137607e-05,1.0349196886831442e-17,0.5651302569405668","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,0.7,10.627140812872579,"0.5990343218382765,1.6005316402727213e-05,4.524473778095455e-05,0.5661914237578218,1.5938249181648875e-05,1.8973538018496328e-19,2.137964137142564e-17,4.508852789865452e-05,7.401709301490019e-18,0.5662026506122078","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,0.9,10.491505090669015,"0.5979028970709667,0.00010170838549631835,0.00015099361457947892,0.5668147416568305,0.00010168810234914544,7.31448826076142e-05,0.0,0.00015104518107744274,0.0,0.5667745740844243","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,0.1,12.81020441195583,"0.6195839351993049,3.438383053473414e-05,0.0001020816518447595,0.5550296877485682,3.437259741869805e-05,1.3552527156068805e-19,0.0,0.0001021179804639541,0.0,0.5550297424798165","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,0.3,12.448605668943223,"0.6174191658846159,2.5864345479551605e-05,0.000133106028434243,0.556234151892644,2.5911558127220753e-05,0.0,0.0,0.0001331318763398919,0.0,0.5562354175437982","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,0.5,12.175208819162346,"0.6157307651388124,0.0001233551735722712,0.00022089420976001797,0.5571708329003885,0.00012336672255241032,0.0,0.0,0.0002208701711100729,0.0,0.5571688535237119","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,0.7,11.99195600177783,"0.6144781713864254,4.1612142403341866e-05,6.372314215346452e-05,0.5578578525768456,4.1600082625796716e-05,5.421010862427522e-20,5.758869569262742e-18,6.367997432576091e-05,2.2695900203873314e-18,0.557863122740813","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,0.9,11.897490628880853,"0.6138311689367147,7.826524290153477e-07,0.00011095046772362533,0.5582190032532415,7.741888475539647e-07,7.052146354612513e-05,5.2837139356681574e-18,0.00011099065887497581,2.0932749496006653e-18,0.558214046963078","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.1,13.856054982431415,"0.631773937152121,0.00014145658115557154,0.00013131900357551518,0.5481163966782914,0.00014142156156795872,2.168404344971009e-19,0.0,0.00013133751231683233,1.4543588041494025e-17,0.5481153171530188","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.3,13.662399276112216,"0.6307395894284906,9.43267045032227e-05,0.00016881888155595307,0.5487107078922622,9.43186886379136e-05,1.0842021724855044e-19,0.0,0.00016882105720635916,0.0,0.5487116846274834","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.5,13.517104086617195,"0.6299320319080939,9.046279654159508e-05,0.00013996953185546363,0.5491764854362015,9.044783251369619e-05,7.897271697620992e-05,0.0,0.00013995802853357565,3.7943551008629796e-18,0.5491734280458246","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.7,13.420886699882399,"0.6293176536111272,9.199575733624556e-05,0.00013639166092645438,0.5495282237280474,9.199627801889738e-05,0.00015228013756465192,2.497262501530036e-18,0.00013640729086249157,1.2660238917183143e-18,0.5495253693621358","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.9,13.371676582057678,"0.6290290220573491,0.0,8.602996875248833e-05,0.549690726770525,0.0,3.6384319734081e-05,5.42192096708869e-19,8.602341748207083e-05,8.078203701427125e-19,0.5496933181489011","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.1,14.914320805715446,"0.6434572719338815,0.0,8.343868595271323e-05,0.5412778522832313,0.0,5.411883664832192e-05,7.44273969036276e-05,8.342362877965197e-05,7.445233126757476e-05,0.5412778776564203","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.3,14.914320974276931,"0.6434572631754935,0.0,8.34000421965224e-05,0.5412786443819588,5.94594415231055e-20,5.4120305836955116e-05,7.439048832767032e-05,8.341061768078349e-05,7.442894008326506e-05,0.5412770960379835","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.5,14.914320934044277,"0.6434572652318348,8.228129030288077e-20,8.344537641058223e-05,0.5412785623630906,1.1367276324726745e-19,5.411315414227604e-05,7.441632047840277e-05,8.34193449878399e-05,7.44172005442132e-05,0.5412771755036188","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.7,14.914320991134815,"0.6434572622413125,1.224465292660723e-19,8.3419218756087e-05,0.5412782595786076,1.1173721483703655e-19,5.411660972711243e-05,7.441699710803996e-05,8.342989285275801e-05,7.440432344717332e-05,0.5412774817942072","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.9,14.91432104591117,"0.6434572593576059,0.0,8.341796500173305e-05,0.5412783505314845,0.0,5.413704726158165e-05,7.442698122008868e-05,8.342062952975958e-05,7.442811756262877e-05,0.5412773942001453","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.0,11.100561428646017,"0.5974298976684393,3.1867789069919985e-06,3.107594476886577e-17,0.5670438172449596,3.1482588497306897e-06,5.055349539545526e-06,0.0,1.8973538018496328e-19,0.0,0.5670439916848082","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.2,10.41649746230876,"0.5925654669742524,1.6437655090138526e-05,1.6566198477307184e-06,0.5695942144610107,1.650273782010254e-05,3.9979955110402976e-19,0.0,1.6413240874609897e-06,1.38417454549013e-17,0.5695863818039715","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.4,9.870980605466965,"0.5882227378813181,2.0203762411203556e-06,4.573014518272064e-06,0.5718348075585147,1.9489478443422144e-06,7.51791347682702e-07,1.3611280237577693e-18,4.60987595859504e-06,2.428742488762195e-17,0.5718383002356041","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.6,9.46951030937472,"0.5847066384096021,1.620263240921559e-05,0.0001204161098641927,0.5736380013722648,1.6149339659424634e-05,1.0842021724855044e-19,4.449156784071724e-18,0.00012043710615530979,1.3455399419017673e-18,0.5736360946821281","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,0.8,9.218847313440396,"0.5822697120195375,4.2673326527039215e-05,6.97294258479881e-05,0.5748230723531902,4.2690398143309824e-05,0.0,0.0,6.979855747016382e-05,0.0,0.5749266355925327","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.8,1.0,9.12558512702881,"0.5811308046574151,3.989996482057851e-06,2.089004515135448e-05,0.5754495796336578,4.008115838155287e-06,6.713662213557727e-05,2.2019096492034137e-05,2.088723108091159e-05,2.15844795423094e-05,0.575451851910047","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,0.0,12.068146095106396,"0.6090605589535991,2.3468641828483224e-05,2.089115618285426e-06,0.5608230573804178,2.3487532107753273e-05,8.131516293641283e-20,9.444814537070904e-18,2.0690098454622242e-06,0.0,0.5608232948069666","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,0.2,11.50582110385102,"0.6055036288526628,0.000151377223804511,0.00017872946901674092,0.5627465640565912,0.00015130162119481982,0.00016490877308531838,1.3495115494877704e-17,0.00017872300437441323,0.0,0.5627452373622777","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,0.4,11.063294374595834,"0.6023790503565906,1.7539115199810773e-05,0.00010404057860488846,0.5644170085001694,1.7543451415845044e-05,0.0,1.292083895637101e-17,0.00010401493198881233,3.504087773107404e-18,0.5644230208219987","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,0.6,10.741782522545437,"0.5999432188689539,1.4968646286247551e-05,2.9924618885271474e-05,0.5657170995357269,1.4974231077254942e-05,0.0,0.0,2.9914704815683652e-05,0.0,0.5657140551326897","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,0.8,10.543520328638706,"0.5983613047554296,6.689363699760295e-05,8.863722167129978e-05,0.5665630772287777,6.682204591420278e-05,1.3552527156068805e-19,6.2825532190069856e-18,8.864607230281625e-05,2.145631545845759e-18,0.566542364135378","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.85,1.0,10.47143697346447,"0.5976525279926743,6.43879872068643e-05,0.00021147466044277,0.5669335006705923,6.43835056153938e-05,0.00016197001611977196,0.0,0.00021146832300499024,0.0,0.5669201598738485","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,0.0,13.024188252820469,"0.6208002063113046,2.3873554187485473e-05,7.721650961210505e-05,0.5543503067422698,2.3844203673913642e-05,0.0,0.0,7.717502875034709e-05,3.2974962847253134e-17,0.554349159077833","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,0.2,12.618264623370528,"0.6184573175555161,4.220102674955983e-05,0.00012670234088938776,0.5556590186011737,4.22189892111344e-05,0.0,2.8114107962039015e-18,0.0001266195831759617,8.421155281897113e-18,0.5556562845533196","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,0.4,12.300700220932097,"0.6165211555142756,5.727854400931633e-05,0.00018211011771041886,0.5567320137781121,5.728008199466832e-05,0.0,0.0,0.00018216252501632635,0.0,0.556733130063312","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,0.6,12.07283699380329,"0.6150058024569137,2.1660982715165637e-05,5.002435763758965e-05,0.5575690203037009,2.1629046286541026e-05,0.0,0.0,5.0049397163535764e-05,2.412133156563492e-19,0.5575703979127662","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,0.8,11.933491516837494,"0.6140864382246872,2.3103752126030204e-05,7.334577140795815e-05,0.5580754833127487,2.3115485745261706e-05,1.1040610027127529e-05,0.0,7.338939666891824e-05,0.0,0.558076794689412","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.9,1.0,11.884191272773489,"0.6136949748525381,1.5537628725379668e-05,0.00012056267512248572,0.5582882281318983,1.5555690874784728e-05,6.326240407619833e-05,1.901738513408953e-21,0.00012060774665096494,1.5493999621397106e-21,0.5582945397372706","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.0,13.970967036660479,"0.6323731833675389,8.405272562499104e-05,0.00013635528725835909,0.5477704920707437,8.407200933026703e-05,5.421010862427522e-20,1.1842065656578629e-17,0.0001363455111963145,0.0,0.5477698447218853","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.2,13.752994716735351,"0.6312406108101076,0.00020460871573992062,0.00013922079329737962,0.5484227215223638,0.00020461629002084663,3.3301621514469134e-05,7.986852580180347e-18,0.00013922497745978636,1.8405505507684312e-17,0.548423391926413","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.4,13.583605877696101,"0.6303128286930444,5.259912418267435e-05,0.00014332380048392757,0.5489578524738609,5.25793720837127e-05,1.680526672870233e-05,9.976850511580233e-18,0.0001433428325222075,2.1194911418243085e-18,0.5489553318236765","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.6,13.463049011426671,"0.6295886347747237,0.00011815150892875014,0.00013848979210833234,0.5493713027857781,0.00011820788953666212,0.00013775215575032794,2.790126720405977e-18,0.00013844332212877992,8.721709843461163e-19,0.5493720154546429","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,0.8,13.38957325226772,"0.6291852953254236,6.646218614928257e-05,0.00012356996785364144,0.5496011783283118,6.645619835326543e-05,0.00011155526896696613,3.012767308304353e-18,0.0001235756527439153,2.5573348056320417e-18,0.5496039637724881","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,0.95,1.0,13.365487989350832,"0.6289551333568292,0.0,5.703127084880022e-05,0.5497340453453288,3.336121192415796e-20,6.009793008156456e-05,0.0,5.703131226734586e-05,0.0,0.5497347172704027","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.0,14.914320934044277,"0.6434572652318348,8.228129030288077e-20,8.344537641058223e-05,0.5412785623630906,1.1367276324726745e-19,5.411315414227604e-05,7.441632047840277e-05,8.34193449878399e-05,7.44172005442132e-05,0.5412771755036188","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.2,14.91432102879237,"0.6434572603585471,2.9965116585488924e-20,8.340604087282933e-05,0.5412778073723488,0.0,5.411942373581435e-05,7.437026065558434e-05,8.340944208139249e-05,7.436145478577284e-05,0.541277936443316","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.4,14.91432092926004,"0.6434572654517554,2.8095521629688635e-19,8.343174275503317e-05,0.5412779134112855,0.0,5.4135056818433086e-05,7.444946559719397e-05,8.344267634333751e-05,7.442544698882186e-05,0.5412778241201056","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.6,14.91432092926004,"0.6434572654517554,2.8095521629688635e-19,8.343174275503317e-05,0.5412779134112855,0.0,5.4135056818433086e-05,7.444946559719397e-05,8.344267634333751e-05,7.442544698882186e-05,0.5412778241201056","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.8,14.914320873482318,"0.6434572683524984,0.0,8.34257987125572e-05,0.5412781444670486,4.0290156059409905e-20,5.4119832021264604e-05,7.452096860578224e-05,8.341213969271056e-05,7.448334653056821e-05,0.5412775896149693","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,1.0,14.914320934044277,"0.6434572652318348,8.228129030288077e-20,8.344537641058223e-05,0.5412785623630906,1.1367276324726745e-19,5.411315414227604e-05,7.441632047840277e-05,8.34193449878399e-05,7.44172005442132e-05,0.5412771755036188","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",0.0,7.253859160923783,"0.5511110301115263,2.553562683034748e-05,8.55348150791279e-05,0.5644951784242156,4.658681209898652e-21,0.0008490287941929128,0.0,0.0,0.49325896631834015,0.3664931606451467","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",0.2,7.253859246381544,"0.5511110468095888,2.5492391438204068e-05,8.548688198304773e-05,0.5644951412048224,1.6093625997831706e-20,0.0008489292995881889,1.0842021724855044e-19,0.0,0.4932589768291266,0.36649317777001933","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",0.4,7.253859182125856,"0.5511110475559371,2.557661816618187e-05,8.56295923852947e-05,0.5644951474380544,9.317362419797304e-21,0.0008489625806751632,0.0,0.0,0.4932589753817832,0.36649316765810813","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",0.6,7.253859182125856,"0.5511110475559371,2.557661816618187e-05,8.56295923852947e-05,0.5644951474380544,9.317362419797304e-21,0.0008489625806751632,0.0,0.0,0.4932589753817832,0.36649316765810813","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",0.8,7.253859199912753,"0.551111032105727,2.5520503786922972e-05,8.555013105727147e-05,0.5644951710722105,0.0,0.0008491023802194459,0.0,0.0,0.49325896718647794,0.3664931673094296","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",1.0,7.253859160923783,"0.5511110301115263,2.553562683034748e-05,8.55348150791279e-05,0.5644951784242156,4.658681209898652e-21,0.0008490287941929128,0.0,0.0,0.49325896631834015,0.3664931606451467","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
